,clean_tweet
152,පොන්න සිපයිය දෑව මේ පෝස්ට් එකටලව් කරන සමනල් පොන්ටින්ල වැහි වැහැල උඹල ගැන අනුකම්පා කරල වෙන්ටෑ අනුර ගොයිය සමලිංගිකයන් ආරක්ෂා කරන්න මුල් වුනේ
153,හෙන උසයි කියල හිතාන ඉන්නෙකොට කැරියා
154,ට හුකයි මතර කිඹුලිගෙ කැරියා
155,මාතර ගඟේ ඉන්නා කිඹුලිගෙ පැටියා වල්ල සුදුයි බෙලේලෙ ගෝමර කැරියා පාරුකවි
156,කැරියාඒක කියවපු ඩංගට වැල කතාවක් කියෙවුව ආතල් එකේ අත මැරුව නේද ? ? ඇත්ත කියපං
157,පල හුත්තිගේ පුතා පොන්න කැරියා උඹේඅම්මට හුකන්න තෝ වගේ රට හරකෙක් පාර්ලිමේන්තු එවපු එවුන්ට ගහන්න ඕනේ හරක් පයියෙන්
158,මාතර කිඹුල තමා මම උබ තාම පැටියා හිල පොඩි ඔරු ආසයි මම කැරියා
159,අඩේ අරූ කැරියා හිතලම ගැහුවා එකක් දෙන්න ඕනෙ
160,මන්දා බං මාත්වෙලා ඉන්නේහැබැයි පොඩි කැරියා විතරක් වුන්නොත් මම නම් ආයේ බලන්නෑ
161,මට මේ පොඩි කැරියා පේන්න බෑ
162,කැරියා වෙන්න ගිහින් ආතල් මිස් කරගන්න එපා
163,කර හැකි හා නොහැකිසිංහල කුණුහරප පකය හුත්තා හුකාපන් කැරියා
164,එහෙන් පොඩ්ඩ එහා මෙහා වෙද්දි හම්බයෝ කියලා වලි දාගන්නවාමෙහෙන් බැට් දුන්නා බදාගත්තා කියලා ඉන්දියාවට කවි රචනා ලියනවාආයේ ඉන්දියාවට සප් කරලා බන්ගලින්ට ගස්සනවා එකේ කෝලිට රෝහිත්ට රාහුල් ට සප්හැබැයි දැන් පකිස්ථානෙට ජය වේවලුකම්පියුස් වෙනවනේ අප්පා
165,සිංහල රටක් දුවන්නත් හම්බයන්ගේ තෙල් ඕන සිංහලේ අයට රැකියා දෙන්නත් හම්බයෝ ඕනසිංහලේට සැමදා අල්ලාහ් දෙවි පිහිටයි
166,ඩුබායි හම්බයෝ හොදයි එහෙනම් මුන්ට ණය දෙනවනම් කවුද කින්ද මන්ද කියල අදාල නෑ ලෙවකාලා හරි ණය අරගෙන මෙහෙ එයි
167,අපේ සිරි ලකට හම්බයෝ හිතාගන්නවත් බැරි විදිහට වදයක් වෙලා තියෙන්නේ ගස් කපනවා කොරෝනා බෝ කරනවා පොඩි තව් වලට ඉන්න දෙන්නෙත් නැහැපුළුවන් නම් මුං ටික පකිස්ථානෙට ගෙන්න ගනින්කෝ බං
168,එතකොට එහි සාමාජිකයෝ කවුද ? හම්බයෝ කීදෙනෙක්ද ? දෙමෙල්ලු එල්ටීටීඊ හිතවාදී කීදෙනෙක්ද චීන්නු කීදෙනෙක්ද ? මොලය තියෙන උගත් මහාචාර්ය අනුචාර්ය නමුත් රටට හිතවත්නැති තක්කඩි හොරු කීදෙනෙක්ද ?
169,එහෙම තමයි ලංකාවේ මිනිස්සු හම්බයෝ රාමලන් උපවාසය බොහෝ අය නිවැරදිව කරනවා උදේ ආගමකියා උපවාසය ආරම්බ කරනවා සවස ආයිත් ආගම කියා උපවාසය අතහරිනවා ඒ කාලයතුල වතුරවත් බොන්නේනෑ අරාබියේ නම් එකම හෝටලයක් වත් අරින්නේනෑ සිංහලයා එහෙම කරයිද ? එකෙක් කරන්නේනෑ අවුරුද්දට ඒ ටිකකාලේ ඉන්නබැරි මිනිස්සු
170,නෑ මටත් හිතෙනවා හැබැයි එතකොට සජිත් පොන්සේකා හම්බයෝ සෙට් එකත් එල්ටීටීඊ එවුන් ටිකත් නිමල් ලන්සා අරුන්දික සහ සොරු ටිකත් ඉන්න ඕනි
171,සිරිසේනලා ජනාධිපති වෙලා රනිල් අගමැති වෙලා හම්බයෝ ටික සජියා ඇතුළු තක්කඩි හොර සිංහලුන් ටික ඇමතිවෙලා හිටියනම් අද රට කෝමට තියෙයිද ? සියළුම සිංහලයන් සහ හාමුදුරුවෝ මුහුදේ පැණීමට තමයි සිදුවෙන්නේඑහෙනම් අද රට දෙකට හම්බයන්ට කොටින්ටයි බොදා හමාරයි
172,හම්බයන්ගෙන් ප්‍රශ්නයක් නැත්ද ? එහෙම නැත්නම් හම්බයෝ ඔය පැත්තේ නැත්ද ? නමුත් කිරින්ද අද හම්බයන්ගේ නිජ බිමක් කියල තමයි අපි දන්නේ
173,හරි බන් උඹල ඔක්කොම බෝධි සත්වයෝ හම්බයෝ තමයි හැම වැරද්දක්ම කරන්නේ
174,පිළිකා කාරකවිශ පොල්තෙල් ගෙන්නල කියනව මිසක් කවුරුවත් කවුද ගෙන්වුවේ කියල කියන්නේනෑනේ සජිත් ඇතුලු පිරිස ආණ්ඩුපක්ෂයේ බන්දුල ඇතුලු පිරිසඒ කිසිකෙනෙක් කියන්නේනෑ පව් අපිනම් දන්නව මිනීමරු හම්බයෝ ටිකක් කියල ප්‍රමිතියේ ඉන්නෙත් උන්ගේ එකෙක් නුෂාඩ් පෙරේරා
175,ලංකාවේ දේශපාලකයන්ගේ විරුද්ධ පක්ෂ සහ ආණ්ඩුපක්ෂ කියල ඉන්න මිනිස්සුන්ගේ නම විතරයි සිංහල උන් ඔක්කොම් හම්බයෝ අහමඩ්ල උන්ට බලය ලැබෙනව නම් හම්බයෝ නෙවි ඊටත් වඩා පහත් එකෙක්ට වුනත් අසූචි කයි ලංකාව දියුණුවෙන්නේ නැත්තෙත් සදාකාලික මේ අගාධයේම ඉන්නේ බලය නිසයි
